"start","deviceid","simserial","collector_date:Collector","collector_date:date_time","coordinates:Latitude","coordinates:Longitude","coordinates:Altitude","coordinates:Accuracy","build_colour","build_colour_other","lot_num_grd_elv:lot_number","lot_num_grd_elv:ground_elevated","building_use","building_use_other","points_interest","points_interest_other","addit_comments","meta:instanceID"
"Sat Jul 29 00:25:55 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 00:26:00 UTC 2017","-12.50117","135.804635","0.0","0.0","yellow",,"187","ground","residential",,"other","Close to airport",,"uuid:d2367a07-2d00-4bf7-8d4c-6bece1d0cd91"
"Sat Jul 29 00:33:31 UTC 2017","861117036175362","89610180001842434052",,"Sat Jul 29 00:33:00 UTC 2017","-12.500591","135.806328","0.0","0.0","d_green",,"166","ground","residential",,"other","Airport",,"uuid:6e5d7532-b9b9-4eba-8c57-a092c1453ae5"
"Sat Jul 29 03:50:48 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 03:50:00 UTC 2017","-12.500649","135.806288","0.0","0.0","d_green",,"163","ground","residential",,"other","Airport",,"uuid:606f94e2-eecb-48a7-bb52-a93390529ef9"
"Sat Jul 29 03:54:16 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 03:54:00 UTC 2017","-12.501044","135.806626","0.0","0.0","yellow",,"164","ground","residential",,"other","Duplex",,"uuid:2ded3fb2-1116-499b-89ae-ce8e1b62eeda"
"Sat Jul 29 03:55:24 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 03:55:00 UTC 2017","-12.501064999999999","135.8071","0.0","0.0","yellow",,"165","ground","residential",,"other","Duplex",,"uuid:653c0576-1970-41d3-84a0-ee3e2c15896e"
"Sat Jul 29 03:56:21 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 03:56:00 UTC 2017","-12.501253","135.804069","0.0","0.0","yellow",,"100","ground","residential",,"tree",,,"uuid:3299056e-499c-4473-8c44-22ee06035e73"
"Sat Jul 29 03:57:48 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 03:57:00 UTC 2017","-12.501253","135.804619","0.0","0.0","yellow",,"187","ground","residential",,"tree",,,"uuid:1a8683f6-b92b-4ef7-897a-ccfc355f6f61"
"Sat Jul 29 03:59:50 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 03:59:00 UTC 2017","-12.50128","135.804944","0.0","0.0","yellow",,"186 a & b","ground","residential",,"other","Duplex",,"uuid:f4d61cf2-bb14-4864-b8f2-90b1c3f90714"
"Sat Jul 29 04:00:49 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:00:00 UTC 2017","-12.501242999999999","135.805252","0.0","0.0","yellow",,"189","ground","residential",,,,,"uuid:a6f74361-ba67-4dc1-8011-8160908a1e66"
"Sat Jul 29 04:02:07 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:02:00 UTC 2017","-12.501237999999999","135.805523","0.0","0.0","yellow",,"183","ground","residential",,,,,"uuid:e14fdf6c-770a-4f4d-b7ef-43147c2256e7"
"Sat Jul 29 04:03:13 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:03:00 UTC 2017","-12.501268999999999","135.804069","0.0","0.0","yellow",,"109","ground","residential",,,,,"uuid:2e3ae6ba-d3f4-485b-af44-ec4b54315c82"
"Sat Jul 29 04:04:24 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:04:00 UTC 2017","-12.501581","135.80442299999999","0.0","0.0","yellow",,"110","ground","residential",,,,,"uuid:40b14e72-b330-471b-b670-6d765d198f0c"
"Sat Jul 29 04:05:25 UTC 2017","861117036175362","89610180001842434052","Pam","Sat Jul 29 04:05:00 UTC 2017","-12.501515","135.804668","0.0","0.0","yellow",,"111","ground","residential",,,,,"uuid:5fa72f07-3bd3-404f-af27-d962030dce66"
